BOOK_ID,BOOK_TITLE,BOOK_COVER,AUTHOR,BOOK_PRICE,PUBLISHER,PUBDATE,DESCRIPTION
9.78896E+12,"더 레이어 The Layer Vol.01 (미술 교사의 삶, 그 빛나는 순간을 큐레이션하는 매거진)",https://shopping-phinf.pstatic.net/main_5560734/55607341811.20250703085633.jpg,해냄에듀 《더 레이어》 편집부,20700,해냄에듀,00:00.0,"미술 교사가 만드는, 미술 교사만을 위한 매거진
미술 교사의 삶, 그 빛나는 순간을 큐레이션한다.

“미술 교사의 삶, 그 층위를 따라 펼쳐지는 첫 기록”
《더 레이어》는 대한민국의 미술 교사들이 품어온 질문과 희망, 그리고 때로는 꺼내지 못했던 고민에 이르끼까지, 미술 교사의 마음의 층위와 색채를 섬세하게 펼쳐 보이는 매거진이다. 《더 레이어》는 ‘가르친다는 것’의 의미를 다시 묻고, 미술 교사라는 존재의 다층적인 정체성을 섬세하게 드러낸다. 
이 매거진은 단순히 수업 자료나 교수 학습 정보를 모은 실용적인 책이 아니다. 오히려 미술 교사 개인이 교실과 삶의 경계에서 경험하는 내면의 결, 예술가적 감각, 교육자로서의 사명감과 회의, 그리고 관계와 변화의 순간들을 감각적인 편집과 진심 어린 언어로 정리해 낸 큐레이션 매체다.
창간호의 키워드는 ‘출발선’.
예비 교사와 퇴직 교사, 수업 현장의 중심에 서 있는 교사들까지, 각자의 위치에서 다시 출발하는 사람들의 이야기를 모아 구성했다. 교직을 향한 설렘과 불안, 교사로서의 자존감, 한 명의 제자와 함께한 성장 서사, 수업 공간의 재설계, 아이디어의 확장, 감정 노동과 육아의 병행까지 - 그 어떤 단일한 서사로도 포착되지 않는 교사의 삶을, 《더 레이어》는 ‘한 겹 한 겹’ 펼쳐 보인다.
매거진은 총 5개 섹션으로 구성된다.

PORTRAIT | 사람들 이야기: 미술 교사와 제자, 작가, 편집자 등 미술 교육 생태계의 다채로운 인물들이 전하는 삶과 직업의 내밀한 이야기.
ATELIER | 공간 이야기: 교실, 아틀리에, 미술 도서관 등 예술과 교육이 머무는 장소의 미학과 구조를 다룸.
ARCHIVE | 수업 이야기: 미술 수업 첫 시간, 미술과 교육과정과 철학, AI 활용 사례, 인포그래픽 수업 등 실제 교육의 사례와 고민을 기록.
ART SPECTRUM | 미술 이야기: 미술 전시 리뷰, 미학적 담론, 미술사 에세이, 교사용 도서 큐레이션을 통해 시야를 확장.
SKETCH | 일상 이야기: 교사의 정체성과 개인의 일상을 교차시킨 서정적 섹션. 육아, 취미 등 미술 교사의 일상적 삶의 기록. 

《더 레이어》는 단순히 ‘미술 교육’을 주제로 하는 것이 아니라, 미술을 매개로 교사 자신의 존재를 들여다보는 자기 성찰의 도구로 기능한다. 디자인은 단정하면서도 감각적이며, 모든 문장은 과하지 않게 정제되어 있다. 독자는 이 책을 읽는 동안 한 교사의 삶을 엿보는 동시에, 자신의 내면과 마주하게 된다.
지금까지 교육 출판이 다뤄오지 못한 ‘교사 중심 서사’를 이끌어 낸 이 매거진은, 교사에게는 공감과 위로를, 학교 밖 독자에게는 미술 교육의 가치를 새롭게 인식하게 하는 계기가 될 것이다."
9.78896E+12,모터바이크 정비 교과서 (라이더의 심장을 울리는 모터사이클 정비 메커니즘 해설),https://shopping-phinf.pstatic.net/main_5341345/53413459905.20250308155114.jpg,스튜디오 택 크리에이티브,15309,보누스,00:00.0,"초보자부터 베테랑까지, 라이더라면 반드시 알아야 할 모터바이크 정비 지식을 정리했다. 모터바이크 정비의 기본 개념부터 실전적인 유지 보수 방법까지 체계적으로 설명한다. 엔진오일 교체, 점화 플러그 및 브레이크 패드 교체, 체인 및 타이어 점검 등 필수적인 정비 절차와 주기를 상세히 다룬다. 또한 정비 도구와 약품 사용법, 전기 부품 점검, 세차 및 유지 보수 팁까지 소개한다. 상세한 사진 자료가 풍부해서 초보자가 따라 하기 쉽고, 실제 정비 과정에서 마주할 수 있는 실수를 줄이는 요령과 지침도 많이 실려 있다."
9.79113E+12,내가 틀릴 수도 있습니다 (숲속의 현자가 전하는 마지막 인생 수업),https://shopping-phinf.pstatic.net/main_3247609/32476098802.20240907071357.jpg,비욘 나티코 린데블라드,15880,다산초당,00:00.0,"달라이라마에서 페이커까지, 전 세계가 사랑한 어느 다정한 승려의 삶과 지혜,
『내가 틀릴 수도 있습니다』
“단숨에 읽으십시오, 기쁨으로 가득해질 것입니다!”

2022년 1월, 한 사람이 세상을 떠났다. ‘망설임도, 두려움도 없이 떠납니다’라는 한마디를 남기고. 거대한 애도의 물결이 스웨덴을 휩쓸었다. 비욘 나티코 린데블라드. 수많은 스웨덴인들을 불안에서 끌어내어 평화와 고요로 이끌었던 그는 2018년 루게릭병에 진단받은 후에도 유쾌하고 따뜻한 지혜를 전했다. 『내가 틀릴 수도 있습니다』는 20대에 눈부신 사회적 성공을 거뒀지만 모든 것을 버리고 숲속으로 17년간 수행을 떠났던 저자의 여정과 깨달음, 그리고 마지막을 담은 책으로 세대를 불문하고 독자들에게 삶의 의미와 희망을 되찾게 하며 국내에서 베스트셀러의 자리를 굳건히 지켰다."
9.79114E+12,"2025 에듀윌 스포츠지도사 보디빌딩 한권끝장 실기+구술 (5종 자격증 대비 가능) (1,2급 생활/2급 전문/유소년/노인 스포츠지도사 대비 가능, 실기 동작별 자세 영상+구술 기출복원)",https://shopping-phinf.pstatic.net/main_5252414/52524146359.20250601072649.jpg,정수봉,21870,에듀윌,00:00.0,"비전공자도 한 번에 합격!

1) 5종 자격증(1ㆍ2급 생활/2급 전문/유소년/노인 스포츠지도사) 대비 가능

2) 실기 평가기준 + 동작별 자세 영상으로 정확한 동작 실습

3) 구술 기출복원 + 모범답안 + 핵심 키워드로 체계적 학습

4) 핵심동작 & 핵심구술 랜덤카드로 실전처럼 연습



[특별 혜택 : 비전공자 한 번에 합격팩]

1) 실기 동작별 자세 영상

   *교재 내 QR코드 스캔

2) 핵심동작 & 핵심구술 랜덤카드

   *교재 광고 뒤 수록"
9.79114E+12,2025 시대에듀 스포츠지도사 2급 필기 일당백 (13년간 20.5만 독자가 선택한 원조 스포츠지도사),https://shopping-phinf.pstatic.net/main_5080504/50805044621.20250718071712.jpg,시대스포츠연구소,27000,시대에듀,00:00.0,"▶ 체계적으로 구성된 학습 프로세스!
▶ 선택과목부터 필수과목까지 한 권으로 완벽대비!
▶ 13년의 노하우를 담은 기출문제 분석!
▶ 2024년 기출문제와 해설로 시험 동향 파악!
▶ 10개년 기출족보 소책자와 공식집으로 언제 어디서나 개념 충전!"
9.79114E+12,2025 시대에듀 Win-Q 설비보전산업기사(舊 기계정비산업기사) 필기+실기 단기합격 (2024년 최근 기출복원문제 수록! 전면 개정된 새 출제기준 반영),https://shopping-phinf.pstatic.net/main_5242392/52423926619.20250114071217.jpg,박창학,29700,시대에듀(시대고시기획),00:00.0,"Win-Q 설비보전산업기사는 다음과 같이 구성되었다!



PART 01은 핵심이론+핵심예제로 구성되었다. 필수적으로 학습해야 하는 중요한 핵심이론들을 각 과목별로 분류하여 수록하였고 시험에 자주 나오는 핵심예제를 엄선해 이론과 문제를 한 번에 학습할 수 있다.



PART 02는 과년도 + 최근 기출복원문제로 구성되었다. 과년도 기출문제에 자세한 해설을 수록하여 핵심이론만으로는 아쉬운 내용을 보충 학습하고, 2024년 최근 기출복원문제를 통해 가장 최신의 출제경향을 파악할 수 있도록 하였다.



PART 03은 시험에 꼭 나오는 실기시험 예상문제를 수록하여 수험생들이 실기시험 문제를 미리 공부하여 시험에 합격할 수 있도록 하였다."
9.79114E+12,2025 시대에듀 NCS 반려견스타일리스트 한권으로 끝내기 (국가공인자격 단기합격 대비),https://shopping-phinf.pstatic.net/main_5228166/52281661619.20250108102103.jpg,송치용^최미경^남도균,23490,시대에듀,00:00.0,"▶ 2025 국가공인자격 단기합격 대비 ◀

〈NCS 반려견스타일리스트 한권으로 끝내기〉

ㆍ 필요한 내용만 담은 과목별 핵심이론!
시험에 출제되는 핵심적인 이론만 추려 한권으로 알차게 수록하였습니다. 시행처의 출제영역에 맞춘 목차구성을 따라 차근차근 공부해보세요.

ㆍ 어려운 개념도 쉽게 학습할 수 있는 다양한 그림과 사진 수록!
관련 자료로 그림이나 사진, 도표 등을 함께 삽입하여 복잡한 개념을 단번에 이해할 수 있도록 도왔습니다. 단어와 이미지를 연상할 수 있는 직관적인 그림으로 복잡한 구조나 도구 관리 순서를 쉽게 이해해보세요.

ㆍ 챕터별 연습문제로 헷갈리는 개념 반복학습!
이론 학습 후 배운 내용을 정리하는 연습문제를 수록하였습니다. 각 챕터별 풍부한 연습문제를 풀어보고 틀린 문제는 문제 하단의 해설 구성을 통해 이론 내용을 바로 복습하고 정확하게 학습해보세요.

ㆍ 급수별 실전 모의고사 3회분으로 시험 전 실력점검!
현행 시험 형식을 따른 3급, 2급, 1급 각 급수별 50문항의 실전 모의고사를 제공합니다. 문제와 해설의 분리로 실제 시험처럼 연습이 가능하고 실전 감각을 쌓으면서 이론 학습을 마무리할 수 있도록 구성하였습니다."
9.79114E+12,치매에 걸린 뇌과학자 (절망 속에서도 결코 사라지지 않는 것들에 대하여),https://shopping-phinf.pstatic.net/main_5609311/56093119224.20250805093000.jpg,"Gibbs, Daniel^Barker, Teresa H.",15795,더퀘스트,00:00.0,"“나는 신경과 의사다. 
그리고 알츠하이머병 초기다.”

자신의 치매를 10년 일찍 눈치챈 뇌과학자,
그가 전하는 ‘마지막까지 의미 있는 삶’을 위한 준비


★ 이 책에 쏟아진 찬사 ★ 
“과학자의 언어로 쓰인 가장 깊은 인간학”
_유성호 | 법의학자, 서울대학교 법의학교실 교수 

“기억은 희미해질지언정 사람의 삶과 
마음의 빛은 사라지지 않음을 보여준다.”
_정희원 | 내과 의사, 유튜브 ‘정희원의 저속노화’ 운영자 


30년 경력의 신경과 의사이자 뇌과학자인 대니얼 깁스 박사는 의사 경력 동안 수많은 치매 환자를 헌신적으로 진료했다. 그러던 어느 날, 그에게도 치매가 찾아왔다. 그런데 더욱 놀라운 점은 그가 자기 치매의 전조증상을 10년 전부터 감지했고, 그 뒤 선제적인 노력을 시작해 이 병의 진행 속도를 늦췄다는 사실이다. 이 모든 일이 어떻게 가능했을까? 
저자의 특별한 여정은 아마존 발간 즉시 뜨거운 관심을 받았으며 2024년 MTV 다큐멘터리로도 제작됐다. 이 책은 ‘뇌 건강의 결정적 시기’를 붙잡기 위한 과학자의 치밀한 분투이자 삶을 향한 깊은 낙관의 기록이다. 저자는 거대한 상실 속에서도 행복과 가족의 사랑, 성취감과 삶을 향한 열망은 계속됨을 보여준다. 그의 말마따나 “삶은 언제나 참 좋은 것”이므로."
9.79114E+12,토마토 컵라면(스페셜 에디션) (스페셜 에디션),https://shopping-phinf.pstatic.net/main_4688256/46882567634.20240718072232.jpg,차정은,8100,부크크(Bookk),00:00.0,"미화되는 계절, 가장 사랑했던 어느 여름날의 추억을 시로써 풀어냈다. 사랑했던 한여름의 태양이 타오르고, 한철 식어버린 여름의 아름다운 부분을 이야기했다. 뜨겁게 내려오는 땀줄기가 보이지 않는 듯, 여름과의 깊은 사랑을 가볍게 눌러 담았다.
여름은 뜨겁고 습하고 끈적거리는 계절을 한탄하지만, 겨울은 여름의 따뜻한 시선을 시샘한다. 우리는 한탄하고 시샘하는 여름에 무슨 추억을 남겼는지 더위가 다 지고 나서야 알아차린다. 여름의 텁텁하고 서투른 글자들에 한철 식은 추억을 하나둘 눌러 담았다. 나의 사랑 가득한 여름 이야기에는 언제나 쌉쌀한 토마토의 향기가 잔뜩 퍼진다."
9.79114E+12,마침내 멸망하는 여름(스페셜 에디션) (스페셜 에디션),https://shopping-phinf.pstatic.net/main_4850088/48500883622.20240831071026.jpg,정,9900,부크크(Bookk),00:00.0,누구보다 영원할 것 같았던 여름이 멸망한다면 너는 어떻게 할래? 결국 사라지는 여름과 모순만이 가득한 영원으로부터 버티고 있는 수많은 우리를 위한 시집이다.
